Symbol,Date,Close,Volume,PreviousDayClose,PriceChange,VolumeChange,CorrelationIndicator
GOOG,2004-08-24,2.61196,306396159,2.724787,-0.11282700000000023,-60461780,Negative Correlation
GOOG,2004-08-27,2.64384,124826132,2.687676,-0.043836000000000208,-17746269,Negative Correlation
GOOG,2004-08-30,2.540727,104429967,2.64384,-0.10311300000000001,-20396165,Negative Correlation
GOOG,2004-09-03,2.490913,103538639,2.528273,-0.03736000000000006,-200271865,Negative Correlation
GOOG,2004-09-21,2.934999,145262446,2.972857,-0.037857999999999947,-68323136,Negative Correlation
GOOG,2004-09-27,2.94546,141994242,2.984563,-0.039102999999999888,-41342383,Negative Correlation
GOOG,2004-09-30,3.227901,276468402,3.264763,-0.036861999999999728,-336761551,Negative Correlation
GOOG,2004-10-06,3.414203,268900140,3.446332,-0.032128999999999852,-31987449,Negative Correlation
GOOG,2004-10-08,3.430392,222442656,3.458287,-0.027895000000000003,-61200538,Negative Correlation
GOOG,2004-10-11,3.368873,210437827,3.430392,-0.0615190000000001,-12004829,Negative Correlation
GOOG,2004-10-26,4.528028,895628499,4.667505,-0.1394770000000003,-419851832,Negative Correlation
GOOG,2004-11-02,4.853558,455553149,4.882449,-0.028891000000000666,-35275728,Negative Correlation
GOOG,2004-11-09,4.201751,444226854,4.297641,-0.095889999999999809,-5123131,Negative Correlation
GOOG,2004-11-10,4.180829,427355853,4.201751,-0.020921999999999663,-16871001,Negative Correlation
GOOG,2004-11-17,4.296396,728034662,4.297392,-0.000996000000000663,-111797480,Negative Correlation
GOOG,2004-11-18,4.172859,667677273,4.296396,-0.12353699999999979,-60357389,Negative Correlation
GOOG,2004-12-02,4.468252,251374696,4.4822,-0.013948000000000071,-64368367,Negative Correlation
GOOG,2004-12-10,4.275225,173335277,4.319559,-0.044334000000000096,-133972286,Negative Correlation
GOOG,2004-12-16,4.395275,344197318,4.477716,-0.082441000000000209,-116362527,Negative Correlation
GOOG,2004-12-21,4.576596,221479058,4.608227,-0.031630999999999965,-173375427,Negative Correlation
GOOG,2005-01-04,4.844342,552298420,5.048826,-0.20448399999999989,-83845098,Negative Correlation
GOOG,2005-01-05,4.819685,330698912,4.844342,-0.024657000000000373,-221599508,Negative Correlation
GOOG,2005-01-11,4.820432,279391317,4.85829,-0.037857999999999947,-23323094,Negative Correlation
